,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
KOR,0,3,2,5,13,0,0,370,172,150,1,2164,541,59,2,779,12,0,8,480,164,18,1,16,0,100,0,1,4,778,3,38,0,12,1,1942,999,327,7124,8,21,16,5,1,211,0,2,18,51,0,0,111,512,2727,0,0,626,5,125,120,751,0,1674,141,153,494,6,0,1903,1,6,7,3510,111,83,0,3,9,1,0,386,6,4,6,1,9,0,209,3,384,406,3942,266,964,111,35,404,1820,11,71,3058,89,49,23,36,0,2,2,94,10,60,4,14,0,1,178,0,131,61,95,0,107,24,4,18,3,471,0,22,5,14,29,56,74,11,0,0,10,7,760,6,1,2,147,1,864,462,98,385,133,1806,24,110,246,1,4,763,11,442,15,42,0,172,222,1031,12,1816,31,10,896,1,0,2,1,1,0,1,185,2,0,0,86,104,701,1,0,4,5,0,0,5,646,4,1,0,1,4,102,761,0,1438,34,39,223,41,11871,69,0,1,0,21,0,1464,1,1,8,23,377,22,12
KWT,0,1,1,2,6,0,0,135,31,44,0,179,67,7,0,101,2,0,0,33,61,37,0,8,0,43,0,0,0,82,3,6,0,5,0,177,96,16,174,2,6,1,1,0,71,0,2,5,6,0,0,58,94,140,0,0,39,6,36,50,358,0,134,59,25,77,1,0,157,0,6,2,367,53,14,0,0,3,0,0,93,1,1,8,0,4,0,66,2,79,37,216,75,233,57,9,20,149,2,87,53,42,8,13,0,0,0,94,0,0,56,0,12,0,0,59,0,55,12,48,0,41,0,2,1,1,83,0,9,0,5,4,43,3,6,0,0,2,3,150,1,0,1,34,0,51,34,20,62,58,141,13,16,26,0,1,89,1,87,4,19,0,121,31,113,3,305,11,3,31,0,0,3,3,0,0,0,79,0,0,0,18,18,57,0,0,2,3,0,0,2,77,2,1,0,1,0,61,189,0,87,6,8,58,4,430,29,0,0,0,11,0,49,1,1,1,19,37,0,2
LAO,0,0,0,0,0,0,0,0,2,0,0,47,2,0,0,7,1,0,0,11,1,0,0,0,0,0,0,0,1,6,0,3,1,1,0,12,24,2,36,4,0,2,1,0,3,0,0,0,0,0,0,0,2,16,0,0,5,0,0,1,2,0,9,0,1,3,0,0,44,0,0,0,88,0,4,0,0,0,0,0,0,0,0,0,2,2,1,1,0,3,11,21,2,1,0,0,0,6,0,2,42,1,8,2,37,0,0,10,0,0,1,0,0,0,0,3,0,0,9,0,0,1,0,0,1,0,2,0,0,0,0,22,0,2,4,0,0,1,4,7,0,1,0,9,0,19,6,3,7,1,4,1,1,11,0,1,3,0,1,1,0,0,0,2,2,0,4,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,2,88,1,0,0,0,0,0,1,0,0,6,4,0,0,73,2,0,0,0,0,0,46,0,0,0,0,4,2,4
LBN,0,10,1,1,8,0,0,156,49,6,0,123,48,4,0,126,4,0,2,15,46,17,1,10,0,8,0,0,0,100,2,2,3,1,0,265,143,33,159,5,9,1,0,0,41,0,2,7,3,0,0,75,46,187,0,0,54,5,36,14,187,0,208,10,14,49,1,0,928,0,1,0,389,15,13,0,0,1,0,0,100,0,0,5,0,2,1,36,4,31,15,105,44,83,32,6,59,293,3,81,53,12,20,7,1,0,0,60,56,1,0,0,19,0,0,8,0,13,14,6,0,54,1,2,2,1,65,0,10,0,9,2,2,3,4,0,0,2,5,45,1,0,2,38,0,148,31,10,36,40,109,8,14,17,0,2,95,1,74,6,14,0,106,46,58,8,170,14,7,31,0,0,2,1,1,0,2,34,0,0,0,16,18,60,1,0,2,23,0,0,3,32,3,1,1,1,1,69,121,0,28,7,15,16,9,792,1,0,0,0,9,0,21,0,0,4,11,64,1,2
LBR,0,1,0,0,0,0,0,0,1,0,0,5,2,0,3,6,7,0,7,1,0,0,0,0,0,0,1,0,1,5,0,1,1,0,2,12,14,2,9,4,10,9,6,0,1,0,0,1,0,0,0,0,2,9,0,0,4,0,1,1,2,0,3,0,8,2,1,0,15,0,0,4,38,1,14,0,6,1,1,0,1,0,0,0,1,1,0,0,1,1,6,5,1,2,0,0,1,6,0,0,4,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,8,0,0,0,1,5,0,0,0,9,2,0,0,2,13,1,5,5,3,3,0,2,0,2,2,0,0,0,0,2,0,0,0,0,1,0,6,2,1,7,3,0,0,1,14,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,4,1,0,0,1,0,1,0,0,0,1,9,10,0,0,84,0,0,0,0,1,0,3,0,0,0,0,13,2,3
LBY,0,2,3,1,8,0,0,39,9,4,0,47,20,3,4,21,4,0,3,14,13,7,0,7,0,9,0,0,1,21,2,3,0,6,1,36,26,12,32,3,6,6,2,0,13,0,0,1,1,0,0,9,12,37,1,0,18,5,18,5,120,0,30,3,19,22,0,0,51,0,2,4,175,7,14,0,0,6,0,0,30,0,0,8,0,3,0,14,0,8,17,39,18,27,32,0,13,44,0,47,25,8,12,5,1,0,0,14,12,0,19,0,0,0,0,10,0,6,1,1,0,26,0,1,5,1,13,0,6,3,9,1,1,2,4,1,0,2,5,111,4,0,7,39,0,25,20,8,8,21,31,8,13,14,0,1,30,0,28,4,22,0,27,15,21,3,116,17,2,12,0,0,0,2,1,0,1,26,0,0,0,5,5,28,2,3,0,5,0,2,2,8,0,0,0,0,0,39,40,0,7,5,12,8,3,83,4,0,0,0,0,0,16,0,1,1,17,44,3,7
LCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIE,0,0,0,0,0,0,0,1,0,0,0,9,79,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,48,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45,0,0,9,0,0,2,0,0,10,1,0,10,0,0,7,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,4,0,0,2,6,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,2,0,0
LKA,0,5,1,5,5,0,0,32,18,62,0,486,82,8,3,95,3,0,2,69,66,8,0,5,0,56,0,0,3,132,3,19,1,9,0,118,119,23,303,2,13,4,4,0,85,0,0,6,3,0,0,60,85,171,0,0,44,8,3,66,103,0,106,75,26,98,6,0,105,0,7,4,481,58,28,0,0,9,0,0,76,0,0,6,0,8,1,76,0,72,50,261,89,90,18,9,23,128,5,18,159,9,32,9,2,0,0,178,59,3,8,0,10,0,0,0,0,65,4,58,0,17,0,2,2,4,93,0,7,1,1,17,53,6,8,0,0,1,4,168,1,1,1,35,3,81,54,43,134,12,142,21,24,55,0,5,90,0,89,2,12,0,74,29,106,4,68,9,1,79,0,0,0,1,1,0,0,84,0,0,0,7,8,66,0,0,1,3,0,0,0,134,1,0,0,0,3,9,83,0,103,19,18,68,4,439,34,0,0,0,1,0,53,1,1,2,13,76,6,6
LSO,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,4,13,0,5,3,3,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,5,0,0,0,3,0,0,1,11,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,1,4,0,0,2,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,4,0,0,1,10,2,8,0,0,3,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,9,0,0,30,0,0,0,0,0,0,0,0,0,0,0,34,7,10
LTU,0,1,3,0,47,0,0,21,46,86,0,206,276,6,2,293,4,0,2,25,178,2,0,37,0,142,0,0,2,163,4,3,0,4,2,112,288,33,284,4,5,4,0,0,96,0,2,5,6,0,0,122,283,576,0,0,211,7,9,86,123,0,462,219,11,307,1,0,366,0,0,4,607,108,10,3,0,1,0,1,259,0,0,8,0,0,0,200,2,236,19,155,175,166,17,36,68,496,3,14,84,23,10,14,1,0,0,131,55,0,13,0,6,0,0,65,0,0,24,267,0,17,2,18,4,0,111,0,54,1,32,3,72,2,6,1,0,3,3,120,2,1,5,29,0,284,181,6,106,7,121,8,18,15,0,2,569,1,254,7,7,0,77,148,317,3,57,8,3,33,0,0,2,1,1,7,0,196,0,0,1,106,117,322,3,0,2,3,0,1,1,85,7,8,0,1,0,14,235,0,119,4,7,195,11,471,36,0,2,0,6,0,12,1,1,10,5,48,3,5
LUX,0,1,1,0,6,0,0,24,18,5,0,116,109,0,0,310,2,0,4,10,17,1,0,13,0,4,0,0,2,56,2,2,0,1,1,145,176,23,146,3,6,3,0,0,19,0,2,4,2,0,0,22,51,517,0,0,127,2,10,2,18,0,222,20,11,65,1,0,423,0,0,0,474,8,8,0,2,0,0,0,74,0,0,3,0,0,0,27,2,33,12,53,60,36,2,15,50,294,2,5,54,9,11,4,1,0,0,61,12,9,14,0,1,0,0,4,0,24,0,21,0,10,0,4,1,0,15,0,12,1,15,2,3,0,4,0,0,4,3,19,1,1,1,10,0,223,100,5,19,5,29,2,6,8,0,0,83,1,74,2,8,0,10,40,43,3,23,1,2,32,0,0,2,1,0,0,0,27,0,0,1,27,49,127,0,0,2,0,0,0,0,15,1,1,0,1,0,17,45,0,27,3,8,15,5,349,0,0,0,0,3,0,28,0,0,2,2,35,1,2
LVA,0,0,2,0,21,0,0,19,29,89,1,137,186,4,1,180,4,0,2,8,148,1,0,25,0,97,0,0,1,126,2,2,0,3,1,58,186,38,153,5,4,2,2,0,89,0,2,9,2,0,0,96,197,356,0,0,121,2,6,79,90,0,251,263,4,242,3,0,228,0,0,1,367,96,5,0,0,3,0,0,162,0,0,2,0,0,0,130,2,167,15,124,137,90,1,18,62,298,2,3,45,21,7,10,0,0,0,95,48,0,6,0,1,0,2,58,0,267,21,0,0,9,1,12,1,0,100,0,28,1,21,2,71,3,4,1,0,2,7,85,2,0,3,9,0,123,130,3,96,1,91,3,7,4,0,0,290,1,173,5,2,0,79,88,297,1,33,2,2,11,0,1,2,0,0,6,0,150,0,0,1,79,82,189,2,0,2,1,0,1,1,89,9,7,0,1,1,8,144,0,103,3,4,181,7,259,33,0,0,0,4,0,6,0,0,2,2,30,1,2
MAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MAR,0,11,3,4,18,0,0,131,134,32,0,213,133,83,5,199,12,0,14,39,84,11,0,9,0,81,0,0,0,203,4,5,1,12,1,377,182,159,327,28,43,14,8,0,152,0,2,6,5,0,0,18,146,324,3,0,134,6,150,38,234,0,497,18,51,71,8,1,1254,0,4,7,523,91,38,3,1,9,0,1,140,0,0,7,0,5,2,34,2,115,30,278,33,95,47,10,115,368,8,58,168,9,49,10,3,0,1,107,41,1,54,2,26,0,0,17,1,17,10,9,0,0,0,2,10,1,82,0,14,17,8,3,3,9,11,11,0,14,15,69,5,0,11,71,1,188,129,24,33,22,138,14,30,50,0,2,162,1,239,6,112,0,89,175,199,16,336,41,32,35,0,0,2,1,1,0,4,112,0,0,1,94,110,178,3,0,4,8,0,2,7,37,4,1,0,1,1,179,313,0,139,20,29,30,19,484,10,0,0,0,8,0,68,0,1,10,34,213,5,13
MCO,0,0,0,0,0,0,0,1,3,0,0,52,6,0,0,41,0,0,0,0,0,0,0,0,0,0,0,1,0,33,0,0,0,0,0,35,40,3,27,0,0,0,0,0,5,0,0,1,2,0,2,1,2,55,1,0,5,0,0,2,0,0,47,1,0,0,0,0,170,0,0,0,109,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,0,20,4,2,0,0,33,43,0,0,28,1,2,1,0,0,0,24,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,4,1,0,0,0,0,2,3,0,0,0,0,0,3,2,1,0,0,0,38,7,0,3,0,1,0,0,0,0,0,25,0,26,0,0,0,4,4,23,0,9,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,22,1,0,1,1,79,0,0,0,0,0,0,0,0,0,0,0,3,0,0
MDA,0,0,0,0,7,0,0,2,4,22,0,16,22,9,0,24,1,0,1,4,15,0,0,7,0,18,0,0,2,12,1,1,0,0,0,18,26,4,19,1,1,0,0,0,1,0,1,1,1,0,0,8,20,81,0,0,17,1,1,1,4,0,25,11,4,9,1,0,40,0,0,0,54,27,3,0,0,0,0,0,22,0,0,1,0,0,0,11,1,14,1,13,9,6,0,1,9,37,1,4,10,8,2,10,1,0,0,4,2,0,2,0,1,0,0,2,0,18,4,12,0,2,1,0,1,1,4,0,9,0,2,1,5,2,1,0,0,1,1,3,1,0,1,2,0,23,17,1,6,3,5,1,7,1,0,0,24,0,14,2,1,0,2,88,72,0,4,0,2,3,0,0,1,0,0,1,0,18,0,0,0,12,9,17,0,0,1,1,0,0,0,4,6,3,0,1,0,3,18,0,6,2,4,33,3,67,9,0,0,0,1,0,4,0,0,1,2,6,0,0
MDG,0,1,2,0,2,0,0,2,5,6,0,36,11,2,5,31,9,0,17,9,4,0,1,0,0,1,1,1,1,26,2,0,1,4,3,35,43,6,33,17,24,14,8,0,9,5,0,4,0,0,0,2,9,81,1,0,9,2,5,4,6,0,26,1,16,10,2,0,179,0,0,10,145,7,17,0,3,4,1,1,8,0,0,3,3,0,2,5,2,6,8,12,7,7,0,0,6,41,0,3,28,1,24,0,15,0,0,18,1,1,2,2,5,0,0,2,2,4,1,1,0,10,1,1,0,1,16,0,1,13,0,1,0,2,15,3,0,6,7,4,4,1,10,18,2,22,14,2,5,2,6,3,9,8,0,0,9,0,25,6,1,0,0,13,10,11,5,7,26,10,0,0,0,4,0,0,1,3,0,0,0,4,2,16,3,0,5,1,0,2,5,1,0,0,0,0,0,7,5,0,0,23,16,6,2,183,0,0,0,0,2,0,11,0,1,0,2,50,7,7
MDV,1,1,0,0,0,0,0,2,1,1,0,6,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,3,0,3,0,1,3,0,0,14,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,2,0,0,1,21,0,1,8,0,0,0,0,0,0,3,1,0,1,0,1,0,0,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,2,0,6,3,9,1,1,3,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,6,0,0,0,0,0,0,2,0,2,1,1,1,0,16,0,0,0,0,0,0,2,0,0,0,1,3,0,0
MEX,1,2,8,7,9,0,0,104,753,128,0,804,352,46,6,451,7,0,2,81,156,10,2,11,0,83,10,2,64,1441,9,9,0,18,0,1214,568,878,1144,12,38,6,4,0,1017,0,2,181,263,2,1,97,350,1317,1,1,340,89,45,355,309,0,2561,161,64,329,6,3,1370,2,6,4,2051,108,51,0,1,6,0,0,319,2,1,118,2,11,38,174,9,235,122,846,256,356,39,38,199,1276,11,56,567,43,97,16,7,0,6,471,83,2,65,2,13,0,1,93,0,111,15,100,0,82,4,4,16,0,0,0,17,1,21,6,60,14,19,0,0,7,14,232,5,3,5,131,32,675,234,33,251,36,334,113,441,94,0,5,459,1,440,74,19,0,124,211,654,10,278,16,9,163,0,0,3,2,33,0,0,166,1,0,1,96,63,452,1,0,6,7,0,0,3,231,7,1,0,1,6,68,401,0,258,22,39,181,208,4691,39,0,8,0,149,0,90,1,1,6,20,374,6,16
MHL,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,0
MKD,0,1,2,0,53,0,0,15,19,8,0,55,90,6,2,78,3,0,1,16,85,3,0,49,0,15,0,0,2,40,1,3,0,2,1,45,71,21,61,4,2,2,0,0,19,0,1,4,3,0,0,30,76,166,0,0,72,6,11,8,31,0,138,41,9,57,1,0,103,0,0,4,210,27,10,1,1,2,0,0,95,0,0,5,0,1,0,111,1,65,12,42,48,30,7,5,50,150,2,13,25,12,7,9,1,0,0,22,9,0,10,0,6,0,0,7,0,54,12,28,0,14,0,9,1,0,17,0,0,2,22,2,32,2,2,1,0,1,2,21,2,1,4,16,0,89,55,5,15,9,29,8,14,14,0,2,111,0,91,4,6,0,13,89,76,2,21,6,3,21,0,0,1,1,1,6,0,145,1,0,0,50,91,65,2,0,1,3,0,1,1,14,7,7,0,1,0,11,87,0,8,4,3,29,4,120,5,0,0,0,2,0,7,0,1,28,4,22,2,5
MLI,0,1,3,0,1,0,0,2,2,1,0,24,2,1,5,22,32,0,64,22,3,1,2,0,0,1,0,0,0,14,0,0,0,3,1,28,42,0,13,37,26,26,7,0,4,0,0,0,0,0,0,1,2,37,0,0,8,0,5,2,6,0,28,2,24,4,0,0,89,0,0,8,109,3,38,0,17,17,4,1,6,0,0,3,0,0,0,1,1,1,4,31,3,2,0,1,7,10,8,0,7,1,51,0,1,0,0,5,0,0,0,8,3,0,0,1,1,1,1,1,0,17,0,0,13,0,1,0,2,0,0,1,0,2,20,7,0,6,15,2,5,0,22,32,1,18,5,2,4,0,8,0,4,2,0,0,2,0,6,1,0,0,1,1,7,7,15,5,44,0,0,0,0,15,0,0,1,2,1,0,0,1,2,9,3,0,1,0,0,10,27,7,0,0,0,0,1,5,7,0,3,21,22,1,0,194,0,0,0,0,0,0,0,0,0,0,1,38,13,9
MLT,0,0,1,0,18,0,0,15,17,5,0,55,50,2,0,71,2,0,0,8,37,2,0,18,0,1,0,0,0,36,2,2,0,1,0,56,86,13,47,2,3,0,0,0,9,0,3,4,2,0,0,33,45,142,0,0,58,2,9,2,15,0,111,31,5,46,1,0,104,0,0,0,353,14,3,0,0,0,0,0,88,0,0,2,0,0,0,47,2,46,4,53,57,12,4,15,44,282,4,6,31,11,3,13,0,0,0,14,5,0,9,0,9,0,0,1,0,32,15,21,0,8,0,2,0,0,21,0,22,0,0,2,16,0,2,0,0,4,2,15,1,0,1,8,0,88,57,3,16,1,14,2,4,8,0,0,64,1,78,3,3,0,6,39,34,0,23,0,2,9,0,0,2,0,0,7,0,35,0,0,1,31,42,66,0,0,3,2,0,0,0,6,7,8,0,1,0,15,47,0,18,3,2,18,7,112,3,0,0,0,6,0,3,0,0,4,2,24,0,1
MMR,0,2,1,0,1,0,0,7,4,2,0,72,8,0,0,13,2,0,0,29,3,0,0,4,0,2,1,0,0,7,2,7,3,1,0,18,30,2,136,2,2,3,0,0,5,0,2,3,2,0,0,2,8,34,0,0,5,3,2,4,16,0,7,2,10,8,1,0,22,0,0,0,91,3,5,0,4,0,0,1,3,0,0,2,0,0,1,4,3,3,36,78,5,6,3,2,2,31,2,5,157,4,12,4,13,0,0,29,4,22,2,0,1,0,0,17,1,3,2,2,0,3,0,1,1,2,6,0,2,1,2,0,1,5,2,1,0,4,2,48,0,0,1,13,0,21,12,29,12,1,21,3,6,28,0,2,5,1,4,1,3,0,3,4,13,1,7,3,1,35,0,0,2,2,0,0,0,3,0,0,0,2,4,7,0,0,2,1,0,0,0,117,2,1,0,1,0,3,6,0,25,6,4,3,2,127,1,0,0,0,2,0,44,0,1,0,4,14,2,0
MNE,0,0,0,0,28,0,0,3,4,63,0,56,92,2,0,75,1,0,0,1,85,0,0,53,0,60,0,0,0,59,1,1,0,0,0,9,81,2,69,1,1,1,0,0,58,0,1,1,1,0,0,64,84,91,0,0,20,1,3,55,64,0,84,70,1,75,1,0,90,0,0,0,115,65,1,0,0,0,0,0,82,0,0,1,0,0,0,118,1,72,3,59,72,62,0,5,7,102,1,2,3,7,1,7,0,0,0,56,43,0,2,0,1,0,0,53,0,72,3,71,0,3,2,5,0,0,60,0,32,0,16,1,0,3,1,0,0,1,1,56,0,2,1,5,0,23,16,1,57,0,55,1,1,4,0,0,95,0,87,1,2,0,54,40,86,0,7,0,1,1,0,0,1,0,0,7,0,232,1,0,0,24,45,22,1,0,1,0,0,0,0,54,7,8,0,1,0,6,84,0,55,2,1,59,2,80,29,0,0,0,1,0,1,0,0,6,1,6,0,1
MNG,0,0,0,0,1,0,0,8,4,7,0,38,20,5,0,13,5,0,2,16,6,2,0,0,0,3,0,0,0,14,0,1,7,4,0,31,36,7,189,1,0,1,2,0,4,0,0,4,2,0,0,2,16,152,0,0,17,1,2,3,9,0,18,5,12,11,4,0,29,0,2,0,137,5,6,0,0,4,0,0,5,0,0,3,0,2,0,2,1,9,17,90,4,15,2,5,4,94,1,5,126,11,9,10,2,0,0,74,3,2,3,1,2,0,0,6,0,2,0,3,0,9,3,2,2,0,14,0,2,2,0,5,3,0,3,0,0,0,5,12,2,0,0,5,0,90,16,15,11,3,76,3,3,15,0,3,25,0,7,3,1,0,3,9,139,1,5,0,1,17,0,0,0,0,0,0,0,5,1,0,1,5,5,82,1,0,3,0,0,0,3,67,4,0,4,0,4,3,74,0,28,7,6,8,1,189,3,0,0,0,0,0,18,0,0,1,3,20,1,2
MOZ,0,1,10,1,2,0,0,11,24,2,0,55,18,1,3,53,21,0,24,24,4,3,0,4,0,1,1,0,2,135,2,3,3,13,2,47,62,14,28,25,20,19,14,0,16,1,5,3,3,0,0,2,11,64,1,0,28,3,7,5,15,1,181,10,44,12,2,0,62,0,3,8,226,3,28,0,5,10,1,1,16,0,0,4,1,2,0,9,3,9,10,48,16,12,3,6,9,54,4,7,21,8,71,6,7,0,0,11,6,4,4,5,4,0,0,8,4,6,4,4,0,11,0,1,15,0,19,0,2,20,2,2,1,3,0,3,0,8,28,15,18,0,10,62,1,52,22,17,15,1,24,5,17,15,0,5,17,1,93,2,5,0,7,12,14,20,13,10,22,14,0,0,4,14,0,0,0,9,1,1,0,6,5,42,9,0,7,0,0,2,5,19,1,1,1,1,2,7,10,0,8,47,55,8,4,270,1,0,0,0,4,0,12,0,0,1,6,159,27,34
MRT,0,0,1,0,1,0,0,1,0,1,0,4,1,0,2,2,3,0,4,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,1,2,2,0,2,3,3,3,1,0,0,0,1,0,0,0,0,0,1,5,0,0,2,0,4,0,3,0,9,1,2,2,0,0,33,0,0,2,6,1,3,0,3,1,3,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,1,6,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,11,0,0,3,0,0,0,1,7,0,1,0,0,3,0,0,0,1,1,0,0,5,1,0,5,1,0,0,0,1,0,0,0,0,0,1,0,7,0,0,0,0,1,1,1,4,2,14,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,9,3,0,0,2,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,1,1
