,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
IND,28,2,0,20,0,0,330,436,310,0,2818,866,94,4,992,24,26,228,404,58,0,8,284,8,0,16,1468,6,42,20,28,0,2318,1664,362,2808,26,84,34,36,0,478,0,0,26,74,0,2,200,1016,3864,0,2,800,6,84,82,632,6,1882,320,158,830,46,0,2758,0,0,14,5368,294,74,0,2,28,0,0,726,4,2,42,2,0,4,362,20,656,158,0,562,678,62,28,702,2440,30,90,2530,64,222,8,40,0,6,3472,100,34,82,4,24,2,0,264,2,278,60,102,170,0,12,24,8,784,0,18,34,10,28,4,34,22,0,2,36,62,1540,18,8,40,288,4,1264,546,248,0,498,236,650,50,144,242,0,32,1096,0,912,4,2,300,454,1278,32,2450,22,30,1040,6,8,14,0,6,442,0,0,0,364,308,1230,2,2,8,0,2,12,686,0,0,0,0,48,108,782,0,1436,74,92,332,52,12474,22,0,2,24,186,2,0,2,30,1452,64,42
IRL,2,0,0,8,0,0,30,108,188,0,1266,732,8,0,1042,2,4,10,344,32,0,6,182,2,4,6,652,4,2,0,8,0,1160,1226,114,1324,8,8,4,4,0,350,0,20,10,20,0,2,228,564,2588,0,8,756,0,20,38,248,0,1788,320,16,700,4,0,2008,0,0,0,6364,178,20,0,0,4,0,0,662,2,10,0,0,0,0,314,0,444,14,562,0,262,22,72,234,1978,8,18,536,22,18,2,0,0,12,410,2,2,26,0,2,2,0,170,0,298,54,126,16,4,8,4,0,294,0,10,0,68,0,4,12,8,0,0,0,26,302,24,2,0,24,2,1476,478,6,0,412,52,250,8,26,16,0,4,884,0,664,2,4,194,376,774,8,262,8,0,196,0,8,0,0,2,246,0,0,0,198,200,962,2,4,10,0,0,0,206,0,0,0,0,8,32,388,0,264,4,34,390,14,3878,2,0,2,10,150,0,0,2,2,234,10,4
IRN,16,0,0,6,0,0,92,92,196,2,1324,436,16,0,490,8,6,50,198,20,0,2,176,6,0,6,398,6,8,2,6,0,1902,512,108,920,10,10,6,0,0,226,0,0,12,10,0,2,188,332,1492,0,2,278,0,30,6,328,4,876,200,24,358,14,0,832,0,0,2,1574,186,12,0,0,8,0,0,314,6,2,2,0,0,0,192,0,208,70,678,262,0,100,28,74,1216,4,36,396,22,34,6,2,0,2,680,66,0,52,0,12,2,0,180,0,222,12,10,34,0,6,6,0,288,0,10,2,2,4,4,6,2,0,0,8,2,1664,0,6,2,82,0,532,144,12,0,342,130,382,8,16,24,0,8,460,0,402,2,4,260,240,354,8,550,16,6,156,0,0,0,0,0,264,0,0,0,76,66,572,0,2,20,0,0,0,282,2,0,0,0,4,54,870,0,286,12,12,206,14,3796,6,0,2,10,54,2,0,0,8,266,6,12
IRQ,8,0,0,2,0,0,36,14,0,0,106,18,2,0,22,8,0,10,12,18,0,0,0,6,0,0,20,2,4,0,4,0,36,20,6,134,8,4,4,0,0,18,0,0,0,0,0,0,14,4,112,0,0,20,0,12,0,86,0,40,10,8,12,8,0,72,0,0,0,444,8,8,0,0,6,0,0,16,0,0,0,0,0,0,4,0,6,18,62,22,100,0,8,38,62,0,50,34,0,10,0,0,0,0,38,2,0,30,0,20,2,0,10,0,0,0,0,10,0,0,0,0,24,0,2,2,0,0,0,0,0,0,0,0,0,652,0,6,2,30,0,32,14,2,0,18,24,46,2,10,8,0,8,22,0,22,0,6,20,72,46,8,74,4,0,10,0,0,0,0,0,18,0,0,0,8,4,56,0,0,20,0,0,0,4,0,0,0,0,0,14,126,0,12,8,12,22,8,230,2,0,0,0,14,0,0,0,10,16,6,0
ISL,8,0,0,10,0,0,18,22,10,0,140,140,8,0,114,8,0,20,30,8,0,0,6,6,0,2,48,2,0,0,4,0,232,158,34,136,8,4,6,0,0,14,0,0,0,0,0,0,18,42,390,0,0,436,4,0,4,12,0,246,86,8,286,8,0,324,2,0,0,666,10,6,0,0,6,0,0,88,0,14,4,0,0,0,42,0,36,14,28,72,28,8,0,62,288,6,10,70,2,12,2,0,0,4,58,0,0,22,0,6,2,0,10,0,44,8,20,14,2,2,0,0,54,0,4,2,12,0,6,0,2,0,0,4,0,22,0,6,2,16,0,284,382,2,0,66,8,24,4,10,16,0,10,120,0,98,0,2,10,44,92,8,42,4,0,68,0,0,0,0,0,16,0,0,0,24,44,560,0,2,6,0,0,0,22,0,0,0,0,0,10,38,0,30,8,12,14,12,792,0,0,0,4,10,0,0,0,2,68,6,0
ISR,12,0,0,14,0,0,74,424,260,0,1198,836,232,0,820,10,4,24,102,12,0,24,260,6,2,0,694,2,2,0,4,2,1756,1324,420,1296,10,12,10,0,0,310,0,0,12,16,0,0,84,662,3642,0,0,900,2,34,14,112,0,1650,88,32,426,10,2,2408,0,0,0,3488,262,10,0,0,8,4,2,700,0,4,4,0,0,0,180,2,522,34,702,234,74,38,62,0,2536,14,98,842,26,30,4,0,0,0,410,28,6,64,2,12,2,0,32,0,60,34,50,294,8,28,2,0,166,0,22,10,42,2,12,16,2,0,0,4,6,382,4,6,8,46,0,1476,586,2,0,230,20,74,8,32,34,0,8,860,0,594,16,24,50,426,1018,8,178,6,6,324,0,2,2,0,0,346,0,0,0,310,394,972,2,2,14,0,0,0,70,2,0,0,0,0,40,644,0,504,12,20,146,18,9558,4,0,0,18,34,2,0,2,6,474,6,4
ITA,18,4,0,120,2,0,336,1318,570,0,5238,4862,258,4,6460,26,56,96,816,14,0,78,492,10,2,28,4094,30,6,6,34,2,6008,9506,1414,4892,40,112,24,24,0,926,4,2,70,174,0,2,484,3016,18932,6,2,4154,18,254,160,812,34,14112,664,118,2774,44,0,18134,0,2,20,23890,532,44,2,10,24,12,2,3926,12,6,26,8,10,18,1078,0,2114,136,2440,1978,1216,62,288,2536,0,18,90,4090,104,178,20,14,2,4,2088,76,6,196,2,32,2,4,210,0,576,280,286,452,36,36,38,14,1400,0,94,22,218,4,56,40,26,6,0,10,38,792,28,22,14,186,8,9350,2572,64,0,956,120,682,46,226,116,4,14,4254,2,3084,14,6,430,1924,3504,14,1192,30,42,784,0,18,14,24,2,1248,0,0,8,912,1328,5608,2,6,22,0,0,6,600,4,2,0,0,40,466,2244,0,1198,116,82,756,110,28852,26,16,2,96,322,2,0,18,8,1176,40,12
JAM,0,0,2,4,0,0,6,6,0,0,26,8,0,0,10,0,2,2,4,2,6,2,2,2,0,4,16,34,2,0,4,0,54,26,12,16,0,6,0,0,0,20,0,0,8,8,0,2,0,8,20,0,2,8,4,0,4,8,0,22,8,0,10,0,0,24,0,0,0,80,6,16,0,2,4,0,0,10,6,0,0,0,2,2,8,2,4,0,30,8,4,0,6,14,18,0,4,10,0,4,0,0,0,2,14,0,0,0,0,0,10,0,2,0,2,0,6,4,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,2,0,6,4,0,4,6,2,18,12,0,0,6,0,6,2,8,4,0,0,4,0,6,2,0,4,4,6,4,10,0,2,10,0,2,2,0,0,6,0,0,0,2,4,16,0,10,0,0,0,0,4,0,0,0,0,32,4,8,0,4,4,0,0,6,198,0,0,8,14,2,0,0,2,0,26,0,0
JOR,8,0,0,2,0,0,164,10,0,0,88,28,2,0,44,8,2,10,14,22,0,4,16,6,0,0,34,2,2,0,4,0,156,64,18,62,10,8,4,0,0,22,0,0,0,4,0,0,18,20,240,0,0,28,0,40,2,110,0,78,14,16,36,8,0,82,0,0,0,374,12,10,0,0,6,0,0,52,0,2,0,0,0,0,6,0,10,10,90,18,36,50,10,98,90,4,0,56,0,20,0,0,0,2,52,36,0,50,0,18,2,0,14,0,2,4,4,48,0,0,0,0,22,0,0,2,2,0,0,0,0,0,0,0,6,84,2,6,6,20,0,48,18,2,0,38,42,44,2,6,26,0,8,30,0,26,2,4,72,28,34,8,436,16,6,38,0,0,0,0,0,18,0,0,0,18,4,46,0,2,18,0,0,2,20,0,0,0,0,0,58,56,0,36,8,14,16,8,712,4,0,2,2,12,0,0,2,8,30,6,0
JPN,20,0,0,66,0,0,142,538,300,0,4044,1374,268,0,1762,20,24,630,300,14,0,16,272,6,8,14,1480,8,22,8,12,2,3888,2776,712,12482,32,46,28,4,2,402,0,20,42,76,0,2,48,1286,7602,0,2,1482,8,40,44,1022,2,3078,208,66,1140,28,2,5660,0,4,14,8512,272,84,0,2,30,4,0,872,2,4,8,4,2,4,246,0,930,1114,2530,536,396,34,70,842,4090,10,56,0,58,192,20,88,0,10,4736,46,52,58,0,18,2,2,168,0,150,70,132,288,10,10,16,4,604,0,30,6,30,92,6,132,6,2,2,8,22,1652,8,24,4,162,6,2352,972,146,0,620,54,340,54,162,424,6,28,1572,2,834,22,4,126,666,2286,14,872,32,10,1294,0,2,10,0,0,394,0,0,4,604,556,2184,2,6,20,0,0,0,1918,0,0,2,0,10,88,858,0,2692,54,34,274,44,21950,24,8,2,36,852,18,0,2,6,846,50,8
KAZ,0,0,0,4,0,0,10,4,26,0,46,28,16,0,24,4,2,6,12,0,0,6,40,0,0,2,6,0,6,0,0,0,50,26,8,98,0,0,2,0,0,4,0,0,0,0,0,0,8,38,142,0,0,22,0,2,10,22,0,40,4,0,24,0,0,66,0,0,0,130,10,0,0,0,0,0,0,26,0,0,0,0,0,0,10,0,20,4,64,22,22,0,2,26,104,0,0,58,0,0,34,0,0,0,30,2,0,2,0,0,0,0,2,0,12,2,18,2,0,4,0,0,24,0,2,0,0,0,6,10,2,0,0,0,0,22,0,0,0,0,0,18,34,2,0,10,4,30,0,6,0,0,0,136,0,10,2,0,0,24,452,0,24,0,2,20,0,0,0,0,0,4,0,0,0,16,2,40,0,0,4,0,0,0,6,14,8,0,0,0,4,114,0,6,0,0,158,0,228,28,0,0,2,6,0,0,0,0,16,0,0
KEN,8,0,0,2,0,0,16,74,6,0,260,68,6,10,188,52,68,38,14,8,0,2,2,8,0,6,134,6,4,2,24,0,298,270,30,230,50,70,46,18,0,66,0,0,8,10,0,2,14,12,436,0,2,112,0,4,14,52,4,132,18,146,68,14,0,230,0,0,32,1146,14,112,0,2,52,8,0,20,2,2,34,0,0,0,4,8,12,72,222,18,34,10,12,30,178,4,20,192,0,0,0,16,2,6,54,2,12,10,4,6,2,0,26,0,0,12,0,16,2,0,30,0,76,0,0,76,0,8,0,6,66,0,0,2,104,36,12,8,34,136,6,318,48,16,0,64,18,80,12,46,40,0,12,16,0,40,0,4,12,14,32,78,28,42,48,36,0,12,8,0,6,10,0,0,0,14,2,220,14,6,8,0,0,0,88,0,0,0,2,4,14,30,0,26,218,260,18,20,1886,4,2,2,12,54,4,0,0,4,498,128,74
KGZ,0,0,0,4,0,0,2,4,8,0,8,6,4,0,10,0,2,6,4,0,0,4,8,0,0,2,2,0,2,0,0,0,10,32,4,24,0,0,2,0,0,2,0,0,0,0,0,0,2,6,58,0,0,14,0,2,2,2,0,6,6,0,2,0,0,12,0,0,0,24,10,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,2,2,8,2,6,0,2,4,20,0,0,20,34,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,2,2,0,0,6,0,0,4,0,2,0,0,0,2,4,2,0,0,0,0,2,0,0,0,0,0,10,6,2,0,4,0,10,0,6,0,0,0,10,0,2,2,0,0,4,64,0,6,0,0,6,0,0,0,0,0,6,0,0,0,4,6,8,0,0,2,0,0,0,2,20,4,0,0,0,2,28,0,0,0,0,10,0,40,12,0,0,2,2,0,0,2,0,4,0,0
KHM,4,0,0,0,0,0,0,4,0,0,116,8,0,0,72,6,10,30,0,0,0,0,0,0,0,0,12,0,0,6,0,0,40,72,0,30,4,6,12,4,0,2,0,0,0,2,0,0,0,0,20,0,0,10,0,0,2,0,0,18,0,12,4,2,0,144,0,0,8,166,0,10,0,0,10,2,0,0,0,0,0,2,0,0,0,2,0,34,40,0,2,0,0,0,14,0,0,88,0,16,0,0,0,2,20,0,42,0,2,0,0,0,4,0,0,4,0,0,0,0,16,0,6,0,0,8,0,24,0,4,4,2,0,0,6,22,0,0,4,16,0,34,2,22,0,12,0,8,0,6,34,0,4,0,2,2,0,0,0,0,2,4,2,8,6,42,4,0,0,0,0,0,4,0,0,2,0,14,2,0,0,0,0,0,180,0,0,0,0,0,0,0,0,16,14,8,0,2,208,0,0,0,2,72,0,0,0,0,18,4,4
KIR,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
KNA,0,0,2,0,0,0,0,0,0,0,6,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,0,0,10,12,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,2,6,0,2,0,0,2,0,0,8,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,6,12,2,0,4,0,4,2,2,10,0,6,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,8,0,0,0,58,0,0,0,0,0,0,0,0,0,22,0,0
KOR,16,0,0,6,0,0,156,156,248,0,1948,646,10,0,888,10,14,288,348,16,0,10,190,6,0,4,872,4,38,0,10,0,2134,1350,272,6460,12,16,8,0,0,324,0,0,12,58,0,2,186,720,3442,0,2,698,4,34,46,676,0,1668,300,48,708,16,0,2216,0,0,2,3590,200,34,0,0,10,6,0,610,2,4,10,0,0,0,334,0,544,248,3472,410,680,38,58,410,2088,14,52,4736,30,54,2,20,0,0,0,30,14,42,0,6,2,0,236,0,282,102,114,36,2,10,8,0,564,2,6,2,8,34,2,84,4,0,0,4,12,782,6,6,2,56,0,992,318,96,0,484,124,958,10,100,252,0,10,876,2,456,18,2,324,280,1294,12,1068,12,2,1098,0,2,6,4,0,304,0,0,0,252,218,856,2,4,14,0,0,0,738,6,0,0,0,12,46,680,0,1446,56,22,386,26,19690,30,2,2,22,848,0,0,2,2,304,10,2
KWT,0,0,0,0,0,0,80,16,4,0,96,22,0,0,50,0,0,2,8,44,2,2,0,0,0,0,18,0,0,0,0,0,178,20,6,44,0,0,0,0,0,18,0,0,2,12,0,0,4,34,78,0,0,24,0,6,0,180,0,56,4,0,18,0,0,50,0,0,0,218,0,0,0,0,0,0,0,24,0,0,0,0,0,0,8,0,14,6,100,2,66,2,0,28,76,0,36,46,2,2,0,0,0,0,30,0,0,36,0,4,0,0,8,0,2,6,2,6,0,2,0,0,8,0,8,0,4,2,0,0,0,0,0,0,0,68,0,0,0,6,0,48,12,0,0,12,46,28,2,0,4,0,0,8,0,18,0,0,68,12,4,0,128,4,0,8,0,0,0,0,0,36,0,0,0,4,4,16,0,0,4,0,0,0,12,0,0,0,0,0,20,56,0,18,2,2,0,2,348,0,0,0,2,8,0,0,0,20,8,0,2
LAO,0,0,0,0,0,0,0,4,0,0,74,6,0,0,20,4,2,18,0,0,0,0,0,0,0,0,6,0,2,4,0,0,18,68,2,18,4,6,8,2,0,4,0,0,2,0,0,0,0,0,32,0,0,12,0,0,4,0,0,8,2,2,2,2,0,112,0,0,4,122,2,8,0,0,4,4,0,0,0,0,0,2,0,0,0,2,0,18,34,2,0,0,0,6,6,0,0,52,0,12,0,42,0,0,14,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,6,0,2,0,0,6,0,16,0,0,2,0,0,2,2,6,0,0,2,12,0,20,2,12,0,12,0,6,2,0,16,0,4,0,0,2,0,0,0,0,0,2,0,2,6,12,2,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,142,0,0,0,0,0,0,2,0,6,6,6,0,2,96,0,0,0,0,46,0,0,0,0,12,4,0
LBN,8,0,0,0,0,0,90,24,4,0,106,46,2,0,66,8,0,10,20,16,0,8,8,6,0,0,80,2,0,0,6,0,238,88,32,88,10,12,6,0,0,26,0,0,8,2,0,0,28,28,158,0,0,36,0,34,2,152,0,124,24,10,38,8,0,1146,0,0,0,328,18,8,0,0,6,0,0,60,0,2,8,0,0,0,14,2,24,18,82,26,52,30,22,64,196,0,50,58,2,10,0,0,0,0,42,36,0,0,0,18,2,0,12,0,10,4,10,38,0,6,2,0,42,0,2,2,10,2,2,4,0,0,0,0,0,22,2,8,4,22,0,92,44,0,0,30,22,36,2,16,22,0,10,18,0,36,2,6,92,40,40,8,184,8,2,40,2,0,0,0,0,16,0,0,0,14,22,54,0,2,42,0,0,0,22,0,0,0,0,0,34,70,0,16,10,10,22,10,938,0,0,0,2,20,0,0,0,6,70,6,0
LBR,0,0,0,0,0,0,0,0,0,0,8,2,0,0,12,2,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,22,0,2,6,4,2,2,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,2,16,0,4,0,6,0,0,0,16,0,0,2,24,0,6,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,2,0,2,0,4,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,4,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,6,0,0,102,0,0,0,0,0,0,0,0,0,8,2,0
LBY,6,0,0,0,0,0,16,6,0,0,58,12,2,0,4,6,0,6,6,6,0,0,0,4,0,0,22,2,0,0,4,0,40,10,10,14,6,4,4,0,0,6,0,0,0,0,0,0,6,2,20,0,0,10,0,0,0,84,0,10,6,6,26,6,2,72,0,0,0,178,6,8,0,0,4,0,0,14,0,0,0,0,0,0,0,0,4,14,24,2,12,20,6,12,32,0,18,18,0,6,0,0,0,0,6,4,0,18,0,0,2,0,6,0,0,0,0,10,0,0,0,0,6,0,2,2,2,0,0,0,0,0,0,0,0,72,0,4,2,10,0,12,6,0,0,8,14,6,2,6,6,0,6,0,0,12,0,2,16,6,8,6,38,2,6,8,0,0,0,0,0,14,0,0,0,6,0,16,0,0,4,0,0,0,4,0,0,0,0,0,26,12,0,10,6,6,8,8,66,2,0,0,0,6,0,0,0,2,10,6,0
LCA,2,0,2,0,0,0,2,2,0,0,4,2,2,0,2,2,0,2,2,2,2,0,0,2,0,0,2,6,0,0,2,0,4,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,2,0,4,0,0,2,0,0,0,2,0,2,2,2,2,2,0,6,0,0,0,8,2,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,2,2,2,2,2,2,2,2,10,2,2,0,2,0,0,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,2,2,2,0,2,2,0,2,0,0,2,0,0,2,0,2,2,2,2,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,8,2,2,0,2,2,2,2,2,6,0,0,2,0,2,0,0,0,2,2,2,0
LIE,0,0,0,0,0,0,0,0,0,0,2,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0
LKA,10,0,0,0,0,0,14,20,158,0,286,182,4,0,188,8,2,30,172,10,0,0,158,6,0,0,196,2,26,0,4,0,98,206,14,282,10,10,6,2,0,172,0,0,4,0,0,0,176,166,242,0,0,40,0,2,6,176,0,200,180,12,186,10,0,208,0,0,2,520,168,12,0,0,6,4,0,186,0,0,0,2,0,0,168,0,170,38,264,170,180,10,10,32,210,2,14,168,2,26,0,4,0,2,236,8,8,12,0,6,2,0,0,0,160,2,2,16,2,2,6,4,182,0,2,4,4,6,0,6,0,0,0,2,0,232,0,6,2,22,4,54,38,14,0,226,46,198,16,14,40,0,14,160,0,178,0,4,164,12,174,8,122,10,2,84,0,0,0,0,0,172,0,0,0,12,6,74,0,0,10,0,0,0,208,2,0,2,0,0,10,174,0,180,22,14,170,12,476,4,0,0,0,40,0,0,0,2,58,6,0
LSO,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,32,2,4
LTU,0,0,0,10,0,0,18,12,168,0,112,398,4,0,382,0,4,4,324,2,0,22,248,0,0,2,280,0,0,0,0,0,92,408,24,298,0,2,2,0,0,170,0,0,2,0,0,0,186,452,742,0,0,236,2,14,4,178,0,542,420,0,434,0,0,564,0,0,0,836,170,0,0,0,2,0,0,354,0,2,0,0,0,0,232,0,362,8,278,298,222,0,44,60,576,2,2,150,12,0,6,0,0,0,282,2,0,10,0,0,0,0,160,0,0,18,292,6,4,16,0,0,184,0,14,0,14,2,10,2,2,0,0,2,0,190,2,0,0,2,4,264,116,8,0,190,38,178,0,10,0,0,0,612,0,376,2,2,164,178,456,0,118,2,0,12,0,0,0,0,0,228,0,0,0,156,180,392,0,0,4,0,0,0,170,2,0,0,0,0,10,284,0,196,2,0,336,2,674,2,2,0,6,8,0,0,2,0,32,0,2
LUX,2,0,0,8,0,0,4,18,2,0,128,98,2,0,408,6,8,4,20,0,0,4,8,0,0,6,60,0,0,2,0,0,128,196,8,144,14,12,8,4,0,12,0,0,0,4,0,0,24,56,618,0,0,130,0,12,4,6,0,250,20,4,80,0,0,616,0,0,4,438,2,8,0,4,4,2,0,62,0,2,0,0,0,2,30,2,44,6,60,54,12,0,8,34,280,0,4,70,2,12,2,4,0,2,102,6,4,4,2,0,0,0,2,0,18,0,10,4,0,2,8,0,20,0,6,8,10,2,6,6,4,0,0,4,2,6,0,0,8,16,2,224,132,2,0,26,0,18,2,8,4,0,0,106,0,112,0,0,4,36,36,4,14,4,8,32,0,6,2,0,0,22,0,0,0,46,54,164,2,2,2,0,0,0,16,0,0,0,0,0,10,26,0,26,4,8,8,6,406,2,0,0,2,16,0,0,0,0,48,4,4
LVA,0,0,0,12,0,0,16,26,10,0,36,164,4,0,144,0,4,2,138,2,0,12,32,0,0,0,128,0,2,0,0,0,36,184,10,110,0,2,2,0,0,16,0,0,2,0,0,0,16,196,398,0,0,210,4,8,2,8,0,238,316,0,222,0,0,280,0,0,0,460,18,0,0,0,0,0,0,140,0,0,4,0,0,0,56,0,162,8,102,126,10,0,20,50,286,6,4,132,18,0,2,0,0,0,114,2,0,10,0,0,0,0,2,0,292,10,0,2,0,12,0,0,22,0,14,0,6,2,2,0,2,0,0,0,0,12,4,0,0,2,0,184,60,0,0,12,2,10,0,12,12,0,0,268,0,158,4,0,8,152,332,0,22,2,0,18,0,0,0,0,0,38,0,0,0,126,146,244,0,0,4,0,0,0,20,0,0,0,0,0,6,54,0,22,4,0,92,6,240,0,0,0,6,2,0,0,2,0,38,0,0
MAR,10,0,0,2,0,0,52,260,222,0,296,258,226,0,138,10,8,10,24,14,0,2,226,6,0,2,278,4,0,0,8,0,412,300,252,288,20,16,8,4,0,244,0,2,2,6,0,2,12,244,448,0,2,254,0,130,8,68,2,674,12,16,48,10,0,1766,0,0,6,658,234,10,0,2,8,0,0,272,2,0,2,0,0,0,12,0,230,14,170,16,34,10,14,294,452,4,48,288,2,16,0,0,0,0,36,6,0,38,0,10,2,0,16,0,6,4,2,0,2,0,8,0,38,0,2,12,4,0,0,4,0,12,0,2,2,284,2,6,10,20,2,290,256,0,0,22,16,58,4,10,14,0,8,260,0,366,0,4,28,262,272,10,182,6,26,26,0,0,0,0,0,238,0,0,0,236,238,290,0,0,14,0,2,4,14,0,0,0,0,2,198,282,0,244,10,10,24,18,488,0,0,2,10,14,0,0,2,12,272,6,4
