,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
KEN,0,0,0,0,0,2,2,0,0,35,15,0,0,44,5,13,2,0,0,0,0,0,0,0,0,16,0,0,0,24,0,31,42,0,20,4,6,2,3,0,3,1,0,1,0,0,0,52,0,0,25,0,2,0,2,1,3,0,14,3,1,42,0,3,216,0,16,0,2,6,1,0,2,0,0,1,0,0,0,0,0,0,5,15,1,1,0,1,11,19,0,5,35,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,2,0,5,0,0,11,0,0,0,0,5,0,0,0,6,2,1,1,4,19,0,0,61,4,1,9,0,3,0,7,0,0,2,0,0,3,1,0,0,0,0,3,1,11,7,2,0,0,0,0,1,0,0,0,0,9,0,18,0,0,1,1,1,4,0,0,0,1,1,1,1,37,47,0,0,379,0,0,0,0,5,0,0,0,0,43,9,14
KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0
KHM,1,0,0,0,0,0,1,0,0,15,2,0,1,4,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,10,1,6,2,1,1,0,0,0,1,0,0,1,0,0,4,0,0,4,0,0,0,1,0,1,0,0,0,1,20,0,0,9,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,5,0,0,0,0,0,0,4,0,0,1,0,0,0,0,12,0,0,1,1,0,0,2,2,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,4,0,2,0,0,0,0,0,24,0,0,0,0,0,0,0,0,3,1,0,29,0,0,0,2,12,0,0,0,0,1,1,1
KIR,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0
KOR,0,0,0,0,0,6,47,16,0,330,94,3,0,118,1,0,30,16,0,0,0,12,0,0,0,99,0,0,0,0,0,547,235,20,1229,0,5,0,0,0,34,0,0,2,2,5,80,649,0,0,47,0,2,28,58,1,180,4,4,79,0,410,0,0,664,10,5,0,0,0,0,0,47,0,0,0,0,0,0,23,0,53,38,510,54,29,2,1,86,257,0,4,1717,23,1,0,1,0,0,0,3,1,6,0,0,0,1,1,0,6,3,2,5,1,2,0,1,73,0,0,0,0,4,0,11,2,0,0,0,0,59,0,0,0,1,0,0,201,38,17,51,1,37,6,6,30,0,0,174,18,21,0,0,7,32,430,0,4,1,0,96,2,0,0,0,0,7,1,0,0,51,58,110,0,0,0,0,0,78,0,0,0,1,5,66,262,0,2,66,1,5147,18,0,0,5,76,0,0,0,0,26,0,0
KWT,0,0,0,0,0,7,2,0,0,8,2,0,0,4,0,0,5,2,5,0,0,1,0,0,0,4,0,0,0,0,0,19,5,3,4,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,4,0,0,0,41,0,5,0,0,2,0,11,0,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,17,2,4,1,1,0,4,0,3,7,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,4,3,1,0,2,16,0,0,0,0,0,2,0,1,0,0,2,5,5,0,12,2,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,70,0,0,0,1,2,0,0,0,0,8,0,1
LAO,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0
LBN,0,0,0,0,0,5,0,1,0,20,2,0,0,15,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,39,12,2,8,0,0,0,0,0,7,0,0,0,0,1,4,33,0,0,1,0,15,0,12,0,20,0,0,4,0,160,0,0,48,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,2,3,7,5,0,11,44,0,5,12,0,0,0,0,0,0,6,2,0,0,0,11,0,0,0,0,3,0,0,2,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,2,0,6,6,3,0,0,0,0,0,3,0,1,0,0,0,3,6,0,14,0,1,2,0,0,0,0,0,1,0,0,0,3,1,8,0,0,8,0,0,1,0,0,0,0,6,11,0,0,0,2,0,152,0,0,0,1,0,0,0,0,0,5,0,0
LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,8,0,1,0,0,2,0,8,0,0,17,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,2,4,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
LCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LIE,0,0,0,0,0,0,0,0,0,3,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
LKA,0,0,0,0,0,0,0,0,0,35,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,17,12,0,19,0,1,0,0,0,2,0,0,0,0,1,1,22,0,0,8,0,0,0,1,0,4,0,1,2,0,12,0,0,81,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,22,2,3,0,1,1,4,0,1,41,0,4,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,1,0,0,11,3,2,2,0,11,0,1,7,0,1,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,9,0,0,0,1,0,1,3,0,1,1,1,63,0,0,0,1,2,0,0,0,0,8,0,0
LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0
LTU,0,0,4,0,0,0,0,0,0,9,27,0,0,38,0,0,0,13,0,0,0,13,0,0,0,3,0,0,0,0,0,16,32,3,6,0,0,0,0,0,0,0,0,0,0,2,26,150,0,0,36,0,0,0,1,0,39,22,0,45,0,93,0,0,95,2,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,22,0,1,10,0,0,2,14,54,0,0,21,1,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,3,37,0,0,1,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,44,26,0,0,0,0,0,0,0,0,0,64,0,14,0,0,0,12,51,0,0,0,0,1,0,0,0,0,0,4,0,0,0,17,11,91,0,0,0,0,0,1,0,0,0,0,3,16,10,0,0,28,0,115,0,0,0,0,0,0,0,0,0,1,0,0
LUX,0,0,0,0,0,1,1,0,0,8,7,0,0,40,0,5,0,5,0,0,1,0,0,0,0,3,0,0,0,0,1,2,20,0,1,0,0,0,0,0,0,0,0,0,0,2,7,77,0,0,8,0,2,0,0,0,16,2,0,17,0,89,0,0,52,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,1,3,6,0,0,1,5,25,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,26,10,0,1,0,0,0,1,0,0,0,7,0,3,0,0,0,4,4,2,0,0,4,0,0,1,0,0,0,1,0,0,0,5,1,15,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,29,0,0,0,0,4,0,0,0,0,0,0,0
LVA,0,0,1,0,0,0,1,2,0,3,12,0,0,4,0,0,0,10,0,0,0,3,0,0,0,1,0,0,0,0,0,8,8,0,6,0,0,0,0,0,0,0,0,0,0,1,14,64,0,0,17,0,0,0,0,0,7,22,0,15,0,32,0,0,31,1,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,11,0,0,5,0,0,1,7,21,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,1,0,1,0,0,0,33,0,8,0,0,0,6,24,0,0,0,0,1,0,0,0,0,0,6,0,0,0,8,3,32,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,12,0,38,0,0,0,0,0,0,0,0,0,3,0,0
MAR,0,0,1,0,0,5,2,0,0,6,4,0,0,19,1,1,0,3,0,0,0,0,0,0,0,6,0,0,0,0,1,45,14,3,7,2,5,4,1,0,0,0,0,0,1,0,9,63,0,0,1,0,13,0,8,0,118,1,1,5,0,422,0,1,24,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,5,0,8,2,4,0,0,5,51,0,3,14,0,2,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,1,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,0,0,1,1,2,0,0,0,0,0,4,0,17,0,0,0,3,2,0,2,1,4,0,0,0,0,0,0,2,0,0,0,2,1,8,0,0,3,0,2,2,0,0,0,0,28,13,5,1,0,0,0,61,0,0,0,4,0,0,0,0,0,6,0,1
MCO,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,1,0,1,0,0,0,7,0,0,0,0,33,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
MDA,0,0,0,0,0,0,0,1,0,0,5,0,0,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,2,0,1,0,0,0,14,2,0,7,0,13,0,0,9,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,16,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,12,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,17,0,41,0,0,0,0,0,0,0,0,0,0,0,1
MDG,0,0,0,0,0,0,1,0,0,2,1,0,0,9,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,4,0,1,3,8,0,1,0,0,2,0,0,0,0,0,18,0,0,2,0,0,0,0,0,1,0,0,1,0,53,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,5,0,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,7,0,0,3,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,55,0,0,0,0,0,0,0,0,0,4,0,1
MDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MEX,0,0,0,0,0,0,142,10,0,137,39,1,0,80,5,0,4,17,1,1,0,6,0,0,32,211,0,0,0,0,0,298,101,103,138,0,1,0,0,1,129,0,0,26,106,3,72,362,0,0,35,2,4,62,5,0,730,4,3,32,0,449,0,0,432,2,3,0,0,0,0,0,35,0,0,9,0,0,7,9,0,25,6,129,61,12,3,8,44,229,4,1,97,2,5,0,0,0,0,73,0,0,8,0,0,0,0,1,0,1,0,1,8,1,2,0,0,0,0,3,0,1,0,8,7,1,0,0,0,1,3,1,0,1,12,1,0,142,24,8,32,0,11,14,31,9,0,0,69,0,46,1,0,0,9,159,0,3,1,2,10,0,0,1,0,0,21,0,0,0,19,11,90,0,0,2,0,2,19,0,0,0,1,8,24,21,2,2,48,30,1896,3,0,0,76,5,0,0,0,0,38,0,2
MHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKD,0,0,1,0,0,0,0,0,0,3,7,0,0,9,0,0,0,15,0,0,1,0,0,0,0,3,0,0,0,0,0,3,5,0,5,0,0,0,0,0,0,0,0,0,1,0,4,18,0,0,4,0,0,0,0,0,5,0,0,3,0,11,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,3,0,0,1,1,0,1,1,10,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,10,0,0,0,1,5,6,0,0,0,0,0,1,0,0,0,0,0,11,1,0,0,2,0,17,0,0,0,0,0,0,0,0,0,1,0,0
MLI,0,0,0,0,0,0,0,0,0,1,1,0,0,5,4,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,17,1,2,2,7,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,2,0,0,33,0,6,17,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,4,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,3,0,0,3,7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,1,0,0,0,0,0,0,1,5,3,0,0,63,0,0,0,0,0,0,0,0,0,3,1,0
MLT,0,0,0,0,0,0,0,0,0,3,2,0,0,9,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,1,4,12,0,0,5,0,0,0,0,0,13,1,0,3,0,5,0,0,37,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,5,0,0,1,6,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0
MMR,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,1,0,0,11,0,0,0,4,0,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,3,0,0,0,0,1,1,0
MNE,0,0,0,0,0,0,0,9,0,0,2,0,0,9,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,39,0,0,0,9,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
MNG,0,0,0,0,0,0,0,9,0,2,2,0,0,8,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,4,13,0,17,0,0,0,0,0,1,0,0,0,1,0,8,21,0,0,0,0,0,0,0,0,1,0,1,1,0,17,0,0,13,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,9,0,0,47,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,0,0,0,0,0,5,31,0,0,0,0,1,0,0,0,0,0,8,0,0,0,8,1,10,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,3,0,0,0,0,0,1,0
MOZ,0,1,0,0,0,0,0,0,0,4,0,0,0,9,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,21,0,0,0,0,8,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,5,0,1,0,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,9,4,0,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,36,0,0,0,0,1,0,0,0,0,10,1,2
