,ABW,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
GUY,0,0,0,0,0,0,0,1,0,1,3,1,0,0,2,0,0,0,1,0,1,0,0,1,0,1,2,1,0,0,0,0,7,1,1,3,0,0,0,0,0,3,0,0,1,1,0,0,0,1,3,0,1,1,1,0,2,0,0,1,0,0,1,0,6,0,0,13,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,2,2,1,0,0,0,0,2,1,1,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,2,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,13,0,0,0,1,2,0,0,0,0,0,1,0,0
HND,0,0,0,0,0,0,1,8,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,2,5,0,0,0,0,0,9,1,6,1,0,0,0,0,0,12,0,0,7,2,0,0,1,0,0,0,0,0,3,0,5,2,0,5,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,1,0,0,1,0,2,0,0,0,6,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,0,2,1,0,0,0,0,1,5,7,1,0,0,1,0,1,2,0,0,1,1,0,1,1,0,2,0,0,10,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,2,39,0,0,0,0,6,1,0,0,0,0,0,0,0
HRV,0,0,0,6,0,0,6,30,108,0,106,285,3,0,223,0,2,9,153,1,0,109,85,0,0,3,170,0,1,0,0,0,100,325,20,205,0,1,0,0,0,85,0,0,6,25,0,0,96,264,577,0,0,135,0,10,6,90,0,379,124,0,200,0,434,0,0,550,86,0,0,0,0,0,0,227,0,5,2,0,0,0,0,0,247,12,199,124,93,1,12,68,509,2,5,122,5,1,3,0,0,0,168,2,0,5,0,2,0,0,76,0,123,8,23,8,1,8,0,0,125,0,41,0,8,0,28,3,0,0,0,0,0,56,1,0,0,4,0,0,172,112,0,0,91,5,122,1,24,5,0,0,334,0,195,1,0,78,144,228,1,58,0,1,25,0,0,0,0,0,273,0,0,0,81,282,155,0,1,3,0,0,106,1,0,0,0,0,5,169,0,90,2,1,145,2,565,4,0,0,0,2,10,0,0,4,0,46,0,1
HTI,0,1,0,0,0,0,0,2,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,5,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,77,0,0,0,0,0,1,0,0,0,0,4,1,2
HUN,0,0,0,5,0,0,17,155,186,0,336,621,86,1,495,0,1,3,182,0,0,14,169,0,0,4,315,0,0,0,5,0,374,595,117,444,0,4,1,0,0,170,0,0,6,30,0,0,124,512,1476,0,0,353,0,8,1,107,0,718,181,2,340,2,913,0,0,1315,175,3,0,0,0,0,0,354,2,4,4,0,1,0,247,0,0,7,319,168,111,2,18,235,939,2,6,406,7,7,2,2,0,0,232,10,0,11,0,1,0,1,78,0,131,22,41,95,1,8,1,0,160,0,24,0,9,0,4,1,1,0,0,0,0,115,0,0,0,3,0,0,533,255,0,0,116,7,127,4,38,11,0,1,539,0,339,0,0,84,446,457,0,79,0,1,41,0,0,0,0,0,301,0,0,0,244,208,510,0,0,2,0,0,116,0,0,0,0,0,9,304,0,217,3,3,206,4,1524,6,0,0,0,6,13,0,0,2,0,169,0,0
IDN,0,5,0,0,0,0,3,12,3,0,310,25,2,0,34,4,7,36,6,3,0,1,1,3,0,1,33,1,1,0,4,0,53,54,12,118,9,8,2,1,0,10,0,0,6,1,0,0,2,10,148,0,0,27,0,2,8,17,0,35,5,11,11,3,115,1,0,225,4,13,0,1,5,0,0,13,0,0,0,0,2,0,12,0,7,0,83,6,18,3,4,7,49,0,8,511,0,36,0,18,0,0,111,1,11,5,1,2,2,0,11,0,0,3,0,6,0,1,0,1,18,0,3,3,0,13,0,0,1,0,0,1,7,337,2,4,0,15,0,0,170,28,7,0,34,3,25,5,14,78,1,8,19,0,14,0,3,4,4,18,3,27,2,6,108,1,2,0,0,0,4,0,0,0,6,3,42,0,0,2,0,0,90,0,0,0,0,0,2,14,0,118,4,14,8,3,274,0,0,0,0,2,53,0,0,0,0,26,7,1
IND,0,7,0,1,0,0,110,232,195,0,1152,436,83,1,450,5,15,121,143,30,1,4,166,3,2,5,658,3,11,7,11,0,1120,808,225,1237,14,34,13,7,0,240,0,0,11,33,0,1,88,470,1894,0,2,383,2,23,44,265,4,957,107,84,346,17,1369,0,2,2476,174,37,0,2,12,0,0,363,1,0,8,2,2,1,199,5,319,83,0,249,291,41,17,322,1175,6,25,1228,28,81,4,19,0,1,1501,42,8,24,0,23,4,0,121,0,90,23,10,124,1,6,4,5,327,0,6,7,1,12,4,8,7,0,0,21,15,709,8,5,9,97,1,0,668,403,92,0,197,75,318,29,64,105,0,9,628,0,398,3,3,122,286,620,10,875,15,14,475,0,1,1,0,1,247,0,0,0,159,154,635,1,0,5,0,2,290,0,0,0,1,23,41,446,0,670,28,21,188,17,5787,12,0,1,0,19,82,0,0,2,18,692,17,15
IRL,0,1,0,2,0,0,13,29,92,0,494,286,1,0,403,0,1,8,111,8,0,9,82,0,0,2,279,1,2,0,0,0,510,480,72,541,0,3,0,0,0,110,0,0,7,1,0,0,103,242,1076,0,0,324,0,5,23,100,0,774,120,4,292,3,927,0,0,2967,87,4,0,0,1,0,0,249,0,6,0,0,1,0,124,0,168,6,249,0,111,4,48,85,823,2,10,162,1,8,2,0,0,2,155,7,0,15,0,2,0,1,81,0,118,25,25,4,2,7,1,0,138,0,9,1,20,0,1,1,1,1,0,0,8,106,15,1,0,10,0,0,631,190,4,0,172,6,106,0,5,9,0,2,376,0,235,1,0,82,166,336,1,96,1,1,87,0,1,0,0,0,111,0,0,0,43,54,407,2,1,1,0,0,104,0,0,0,0,2,8,214,0,138,4,9,188,11,1845,3,0,0,0,8,64,0,0,0,0,104,2,6
IRN,0,9,0,2,0,0,32,35,93,0,536,195,13,0,207,3,0,23,89,8,1,2,92,3,0,2,149,2,1,0,6,0,866,278,35,402,4,6,2,0,0,111,0,0,5,3,0,1,91,147,712,0,1,111,1,17,6,154,0,389,82,5,181,2,386,0,0,699,86,4,0,0,2,0,0,157,6,0,0,0,0,2,93,0,111,18,291,111,0,36,5,33,534,1,18,190,5,10,2,1,0,2,296,28,1,21,0,5,2,0,85,0,94,2,4,14,0,1,1,0,116,0,5,0,2,1,1,4,0,0,0,1,1,871,2,3,2,32,0,0,254,80,2,0,133,27,166,4,8,15,0,2,165,0,174,0,3,109,81,173,4,229,9,2,74,0,3,1,0,0,145,0,0,0,24,19,253,0,0,8,0,0,131,3,0,0,0,1,26,374,0,130,2,4,94,5,1684,3,0,0,0,5,25,0,0,0,4,132,2,4
IRQ,0,3,0,1,0,0,10,1,0,0,50,7,1,0,10,1,0,3,5,9,0,0,1,2,0,0,12,0,1,0,2,0,26,7,2,60,1,2,2,0,0,11,0,0,0,0,0,0,1,2,52,0,0,7,0,3,0,38,0,15,3,3,3,0,44,0,0,161,3,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,2,3,41,4,36,0,2,13,32,0,20,23,1,1,0,0,0,0,19,6,0,14,0,8,1,0,2,0,0,0,0,7,0,1,0,0,11,0,1,0,0,0,0,0,0,0,0,1,0,304,1,2,0,10,0,0,15,4,0,0,13,8,13,2,8,2,0,1,10,0,15,0,1,9,17,8,2,43,3,0,7,0,1,0,0,0,6,0,0,0,1,1,16,0,0,6,0,0,1,0,0,0,0,8,6,28,0,6,0,5,5,1,127,0,0,0,0,0,3,0,0,0,6,10,1,0
ISL,0,4,0,1,0,0,1,4,0,0,80,46,2,0,51,2,0,2,10,3,0,2,0,3,1,0,15,0,0,0,3,0,78,81,12,49,2,3,2,0,1,4,0,0,0,0,0,0,10,25,156,0,0,190,0,0,0,4,0,111,30,3,119,2,143,1,0,328,8,3,0,0,0,0,0,44,1,7,1,0,0,0,12,0,18,4,17,48,5,2,0,25,123,1,3,41,1,5,2,0,1,0,21,0,0,3,0,1,2,1,4,0,16,7,6,3,1,5,0,0,13,1,5,0,6,0,0,0,0,0,0,1,0,8,1,5,0,6,0,1,120,165,4,1,20,4,5,2,4,6,1,3,51,0,43,0,2,3,11,36,4,12,0,0,33,1,1,0,0,0,9,0,0,0,10,9,266,0,1,1,0,0,10,1,0,0,1,0,2,17,1,15,1,4,8,1,376,1,0,1,0,0,5,1,0,0,0,24,2,1
ISR,0,1,1,4,0,0,15,180,96,0,454,364,89,0,361,1,1,6,40,2,0,6,92,1,0,1,262,1,2,0,1,0,838,572,162,499,2,4,2,0,0,125,0,0,6,7,0,0,33,263,1682,0,0,351,0,10,4,39,0,715,37,16,163,0,1073,0,0,1485,95,1,0,0,1,0,0,275,0,6,5,0,0,0,68,0,235,7,322,85,33,13,25,0,1161,1,48,357,15,9,2,1,0,0,145,10,2,29,0,5,1,0,3,0,32,17,15,104,3,12,2,0,77,0,7,1,13,0,1,1,1,0,0,0,2,102,3,3,0,22,0,0,626,228,1,0,67,5,26,3,15,3,0,1,339,0,278,2,9,9,177,395,2,76,5,2,131,0,3,0,0,0,130,0,0,0,121,148,406,0,0,5,0,0,20,0,1,0,0,0,14,263,0,163,5,6,100,11,4542,3,0,0,0,7,3,0,0,1,6,180,1,2
ITA,0,4,0,37,1,0,77,590,264,0,2300,2143,95,3,3009,16,26,38,347,7,1,24,211,3,0,12,1693,4,3,0,12,1,2839,4246,594,1966,10,62,12,4,0,323,1,3,38,87,5,1,212,1295,8618,0,1,1843,2,106,52,329,6,6436,292,49,1250,13,8315,0,6,10284,213,44,0,3,8,3,0,1729,0,12,11,2,2,6,509,0,939,49,1175,823,534,32,123,1161,0,5,43,1722,40,71,9,5,0,4,849,27,1,101,2,16,2,2,91,0,243,121,94,197,15,23,18,4,581,0,58,7,66,0,23,9,16,1,0,6,17,204,10,17,2,70,7,0,4131,1112,23,0,444,31,280,18,99,44,0,5,1878,1,1398,3,5,175,947,1493,5,506,22,11,311,0,5,2,8,2,542,0,0,1,352,522,2463,1,1,11,1,1,250,2,1,0,0,6,194,1002,0,504,38,33,408,59,13409,27,0,10,0,56,139,0,0,8,4,570,11,9
JAM,0,0,0,0,0,0,1,3,1,1,7,6,0,0,3,0,0,0,0,0,4,1,0,1,0,1,2,6,1,0,0,0,14,8,0,6,1,0,0,0,0,2,0,0,2,2,0,1,0,1,10,0,2,3,1,0,1,2,0,6,1,0,4,0,6,0,0,29,0,4,0,0,1,0,0,2,1,0,0,0,1,0,2,0,2,0,6,2,1,0,1,1,5,0,0,5,0,2,0,0,0,2,2,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,5,3,0,0,4,0,1,1,2,1,0,0,1,0,2,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,1,6,0,4,0,0,0,2,0,0,0,0,11,0,1,0,2,2,0,0,1,75,0,0,0,2,3,0,0,0,0,0,12,0,0
JOR,0,4,0,0,0,0,57,8,0,0,64,11,2,0,11,2,1,7,2,14,0,0,8,3,0,1,11,1,0,0,4,0,76,23,4,22,2,3,2,0,0,6,0,0,2,1,0,0,6,10,101,1,0,13,1,11,1,50,0,32,5,6,21,2,42,0,0,144,4,3,0,0,0,0,0,16,0,0,0,0,1,1,5,0,6,8,25,10,18,20,3,48,43,0,0,31,2,10,1,0,0,1,13,22,0,34,0,7,2,0,7,0,2,5,0,28,0,1,0,0,13,0,2,0,0,1,0,2,0,1,0,1,0,54,1,3,0,8,0,0,19,9,2,0,5,11,17,4,5,7,0,3,14,0,10,0,6,38,7,20,4,171,5,2,10,0,1,1,0,0,9,0,0,0,5,1,16,0,0,19,0,1,7,0,0,0,0,0,19,25,0,12,1,3,3,3,296,2,0,0,0,2,5,0,0,0,5,14,2,0
JPN,0,10,0,7,0,0,56,247,129,0,1732,632,90,1,728,7,9,284,91,5,1,4,96,3,1,7,629,4,9,5,10,4,1744,1184,326,5811,8,21,9,5,1,150,0,0,25,36,0,1,18,523,3403,1,1,608,2,14,20,459,0,1318,39,27,460,10,2494,0,9,3781,98,25,0,3,3,0,0,331,0,1,3,1,2,0,122,0,406,511,1228,162,190,23,41,357,1722,5,31,0,33,60,3,32,0,3,2271,20,19,36,0,5,2,0,65,0,20,26,23,113,2,1,3,3,260,0,8,0,5,16,2,60,2,1,0,2,5,681,6,10,2,64,0,0,1113,430,59,0,267,22,153,17,56,185,1,6,679,1,301,2,4,38,236,1059,8,300,21,9,622,1,2,2,0,0,167,0,0,0,230,196,906,0,1,9,1,0,903,1,0,0,0,4,33,373,1,1126,24,19,169,29,10668,13,1,1,0,30,377,2,1,2,2,357,21,8
KAZ,0,0,0,1,0,0,2,3,5,0,19,15,3,0,9,4,0,2,6,0,0,1,15,0,0,0,11,0,0,0,0,0,16,8,6,25,0,0,0,0,0,1,0,0,1,0,0,0,3,11,76,0,0,7,0,1,0,16,0,21,2,1,6,0,23,0,0,76,5,0,0,0,0,0,0,18,0,0,0,0,0,0,5,0,7,0,28,1,5,1,1,15,40,0,2,33,0,0,16,0,0,0,13,1,1,1,0,0,0,0,0,0,7,1,7,1,0,0,0,0,8,0,2,0,2,0,0,3,0,0,0,0,0,15,0,0,1,1,0,0,13,6,0,0,2,0,9,0,1,0,0,0,43,0,4,0,0,0,8,200,0,14,0,1,4,0,0,0,0,0,5,0,0,0,8,2,6,0,0,3,0,0,1,2,0,0,0,0,3,28,0,0,0,0,36,0,108,16,0,0,0,3,1,0,0,0,0,3,0,0
KEN,0,5,0,0,0,0,5,20,2,0,94,31,0,9,100,17,32,22,3,3,1,0,1,2,0,2,56,3,0,0,14,2,170,109,12,97,22,40,17,11,0,18,0,0,13,2,0,1,1,14,171,0,1,44,0,0,3,17,2,47,4,65,20,5,122,0,7,502,3,60,0,2,23,2,0,9,1,0,5,0,2,0,1,3,7,36,81,8,10,1,5,9,71,2,10,60,0,0,0,6,1,1,13,1,5,5,2,1,4,0,6,0,2,12,0,8,0,0,7,0,30,0,0,18,0,2,0,2,20,0,0,2,45,10,7,4,7,53,2,0,153,34,5,0,30,9,21,7,19,15,0,8,8,0,12,0,3,3,5,11,45,13,20,26,12,0,7,0,0,6,2,0,0,0,12,1,90,4,3,4,0,4,24,1,0,0,0,1,10,6,0,7,124,136,1,5,808,1,0,0,0,3,25,0,0,1,1,245,42,33
KGZ,0,0,0,0,0,0,0,3,1,0,5,3,2,0,3,0,0,1,1,0,0,2,1,0,0,0,2,0,0,0,0,0,3,6,1,9,0,0,0,0,0,1,0,0,1,0,0,0,2,2,25,0,0,3,0,1,0,1,0,2,1,0,2,0,8,0,0,14,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,4,2,2,0,2,2,9,0,1,3,16,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,4,1,0,1,0,4,0,0,0,0,0,4,0,3,0,0,0,2,17,0,2,0,1,0,0,0,0,0,0,3,0,0,0,2,1,9,0,0,1,0,0,0,3,0,0,0,0,1,24,0,0,0,0,0,0,16,2,0,0,0,1,2,0,0,0,0,2,0,0
KHM,0,1,0,0,0,0,0,4,1,0,44,0,0,0,18,4,3,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,36,2,18,1,1,2,0,0,3,0,0,1,2,0,0,0,2,10,0,0,9,0,0,0,2,0,3,0,3,4,0,61,0,2,50,0,2,0,1,0,1,0,2,0,0,0,2,0,1,0,1,2,18,19,0,1,0,0,1,5,0,0,32,0,6,0,0,0,0,13,0,17,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,2,0,6,0,1,0,0,0,0,2,20,0,0,0,6,0,0,10,2,3,0,3,0,4,0,3,18,0,1,0,0,2,1,0,0,0,0,0,0,4,1,13,0,1,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,64,0,0,0,0,0,0,1,0,6,4,3,0,1,77,0,0,0,0,1,31,0,0,0,0,2,2,1
KIR,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0
KNA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,14,1,4,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,2,1,0,0,1,0,1,1,0,0,0,3,0,0,28,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,2,2,0,0,0,4,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,1,0,0,0,50,0,0,0,2,0,0,0,0,0,0,3,0,1
KOR,0,5,0,5,0,0,33,69,128,0,885,257,4,0,364,3,4,117,103,5,1,6,97,3,1,0,335,2,6,0,4,0,958,546,115,2913,6,7,2,0,0,142,0,0,7,30,0,1,85,290,1473,0,1,203,0,9,40,281,0,655,95,18,289,12,989,0,0,1522,89,6,0,0,2,2,0,225,0,0,3,0,0,1,168,1,232,111,1501,155,296,19,21,145,849,2,13,2271,13,13,3,13,0,0,0,6,7,11,0,1,2,1,108,0,85,39,17,19,0,5,2,0,266,0,4,0,1,8,0,24,1,0,0,1,4,286,1,4,0,8,0,0,415,141,42,0,186,34,379,4,42,114,0,2,395,4,174,4,3,102,80,583,4,404,5,3,472,0,1,0,1,0,118,0,0,0,68,65,359,0,0,5,0,0,312,0,0,0,0,5,19,269,0,606,18,7,208,7,9276,12,0,0,0,6,347,0,0,1,0,135,5,5
KWT,0,0,0,0,0,0,39,5,2,0,47,6,0,0,12,0,1,5,2,12,0,0,0,0,0,1,10,0,0,0,0,0,61,6,3,31,0,1,0,0,0,4,0,0,2,4,0,0,1,10,36,1,0,8,1,6,1,93,0,19,1,0,6,0,33,0,0,91,0,0,0,0,0,0,0,13,0,0,0,0,0,1,2,0,10,1,42,7,28,6,0,10,27,0,22,20,1,1,0,0,0,0,6,0,0,22,0,4,0,0,0,0,1,0,0,7,0,0,0,0,4,0,4,1,1,0,0,1,0,1,0,0,0,23,0,0,0,3,0,0,15,4,1,0,1,14,10,1,1,1,0,0,6,0,5,0,1,30,2,7,0,64,7,1,9,0,0,1,0,0,7,0,0,0,3,5,9,0,0,3,0,0,5,0,0,0,0,0,8,24,0,5,1,1,1,3,155,0,0,0,0,1,3,0,0,0,5,7,0,0
LAO,0,0,1,0,0,0,0,2,0,0,31,1,1,0,3,3,1,3,0,0,0,0,0,0,0,0,6,0,0,1,0,2,3,3,1,7,0,1,1,0,0,1,0,0,0,0,0,0,0,3,11,0,0,1,0,0,0,2,0,2,0,1,3,0,45,0,2,35,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,8,0,1,0,0,2,1,0,0,19,1,5,1,17,0,0,7,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,1,0,6,0,0,0,0,0,0,1,11,0,0,0,3,0,0,5,1,0,0,5,0,4,0,1,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,51,1,0,0,0,0,0,1,0,1,0,1,0,1,43,1,0,0,0,0,22,0,0,0,0,3,0,1
LBN,0,4,0,1,0,0,35,13,1,0,40,24,0,0,36,2,3,5,14,10,0,2,1,3,0,2,38,1,0,0,4,0,117,43,17,36,2,5,2,0,0,16,0,0,4,1,0,0,9,8,75,1,0,11,1,15,1,64,0,49,8,4,12,2,450,0,0,152,4,2,0,0,0,0,0,25,0,0,1,0,0,1,5,0,11,5,24,15,21,14,3,29,101,2,34,36,1,5,0,0,0,0,11,22,0,0,0,25,2,0,4,0,3,1,0,18,0,1,0,0,23,0,2,0,4,0,1,3,0,1,0,0,0,13,1,3,0,11,0,0,39,14,1,0,12,15,17,5,10,8,0,2,23,0,20,0,7,42,14,27,3,94,4,5,10,0,2,1,0,0,7,0,0,0,4,5,20,0,0,21,0,2,9,0,0,0,0,0,20,32,0,11,1,3,7,3,419,1,0,0,0,2,7,0,0,0,5,27,2,0
LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,5,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0
LBY,0,0,0,1,0,0,10,4,0,0,10,4,1,0,6,0,0,2,0,4,0,2,1,0,0,0,5,0,0,0,0,0,14,4,0,6,0,0,0,0,0,1,0,0,1,0,0,0,1,4,11,1,0,5,0,6,0,43,0,6,0,0,3,0,29,0,0,83,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,1,2,23,2,5,8,1,5,16,0,7,5,0,1,0,0,0,0,1,4,0,25,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,47,0,0,1,0,0,0,5,2,0,0,1,0,3,0,0,1,0,0,5,0,4,0,1,4,1,1,0,20,1,0,4,0,0,0,0,0,6,0,0,0,3,2,6,0,0,0,1,0,4,0,0,0,0,0,5,9,0,1,1,0,6,0,25,0,0,0,0,0,0,0,0,0,2,3,0,0
LCA,0,2,0,0,0,0,0,2,0,1,2,1,0,0,0,2,0,2,0,2,1,0,0,3,0,0,2,1,0,0,2,0,5,0,3,3,2,2,1,0,0,2,0,0,0,1,0,0,1,0,2,0,1,2,1,0,0,2,0,2,2,2,2,1,3,0,0,6,2,1,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,2,4,0,2,1,2,1,2,1,2,2,0,4,0,0,0,1,2,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0,0,3,4,0,0,2,2,2,1,2,4,0,2,0,0,2,0,2,2,0,2,2,2,0,0,2,0,1,0,0,0,2,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,3,0,2,0,2,1,2,0,1,7,0,0,0,1,0,2,0,0,0,0,2,2,0
LIE,0,0,0,0,0,0,0,0,0,0,3,80,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0,2,0,0,0,0,0,1,1,0,1,0,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
